iso3c,country,region,region_display,n_government_effectiveness,first_year_government_effectiveness,last_year_government_effectiveness,n_regulatory_quality,first_year_regulatory_quality,last_year_regulatory_quality,n_rule_of_law,first_year_rule_of_law,last_year_rule_of_law,n_complete_all_three
GRD,Grenada,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GRL,Greenland,Europe_NorthAmerica,Europe & North America,15,2009.0,2023.0,15,2009.0,2023.0,15,2009.0,2023.0,15
GTM,Guatemala,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
GUM,Guam,Global_South,Global South,19,2004.0,2022.0,19,2004.0,2022.0,19,2004.0,2022.0,19
GUY,Guyana,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
HKG,"Hong Kong SAR, China",DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
HND,Honduras,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
HRV,Croatia,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
HTI,Haiti,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
HUN,Hungary,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
IDN,Indonesia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
IND,India,India,India,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
IRL,Ireland,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
IRN,"Iran, Islamic Rep.",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
IRQ,Iraq,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ISL,Iceland,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ISR,Israel,DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ITA,Italy,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
JAM,Jamaica,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
JOR,Jordan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
JPN,Japan,DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
KAZ,Kazakhstan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
KEN,Kenya,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
KGZ,Kyrgyz Republic,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
KHM,Cambodia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
KIR,Kiribati,Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,26,1996.0,2024.0,21
KNA,St. Kitts and Nevis,Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,26,1996.0,2024.0,21
KOR,"Korea, Rep.",DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
KWT,Kuwait,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LAO,Lao PDR,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LBN,Lebanon,Global_South,Global South,25,1996.0,2023.0,25,1996.0,2023.0,25,1996.0,2023.0,25
LBR,Liberia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LBY,Libya,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LCA,St. Lucia,Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,26,1996.0,2024.0,21
LKA,Sri Lanka,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LSO,Lesotho,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LTU,Lithuania,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LUX,Luxembourg,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
LVA,Latvia,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MAC,"Macao SAR, China",DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MAR,Morocco,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MDA,Moldova,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MDG,Madagascar,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MDV,Maldives,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MEX,Mexico,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MHL,Marshall Islands,Global_South,Global South,20,2005.0,2024.0,20,2005.0,2024.0,26,1996.0,2024.0,20
MKD,North Macedonia,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MLI,Mali,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MLT,Malta,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MMR,Myanmar,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MNG,Mongolia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MNP,Northern Mariana Islands,Global_South,Global South,0,,,0,,,0,,,0
MOZ,Mozambique,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MRT,Mauritania,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MUS,Mauritius,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MWI,Malawi,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
MYS,Malaysia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NAM,Namibia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NER,Niger,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NGA,Nigeria,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NIC,Nicaragua,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NLD,Netherlands,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NOR,Norway,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NPL,Nepal,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
NZL,New Zealand,DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
OMN,Oman,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PAK,Pakistan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PAN,Panama,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PER,Peru,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PHL,Philippines,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PLW,Palau,Global_South,Global South,16,2008.0,2023.0,16,2008.0,2023.0,25,1996.0,2023.0,16
PNG,Papua New Guinea,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
POL,Poland,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PRI,Puerto Rico (US),Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PRT,Portugal,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PRY,Paraguay,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
PYF,French Polynesia,Global_South,Global South,0,,,0,,,6,2019.0,2024.0,0
QAT,Qatar,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ROU,Romania,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
RUS,Russian Federation,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
RWA,Rwanda,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SAU,Saudi Arabia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SDN,Sudan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SEN,Senegal,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SGP,Singapore,DevelopedAsia_Oceania,Developed Asia & Oceania,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SLB,Solomon Islands,Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,26,1996.0,2024.0,21
SLE,Sierra Leone,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SLV,El Salvador,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SOM,"Somalia, Fed. Rep.",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
STP,Sao Tome and Principe,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SUR,Suriname,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SVK,Slovak Republic,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SVN,Slovenia,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SWE,Sweden,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SWZ,Eswatini,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SYC,Seychelles,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
SYR,Syrian Arab Republic,Global_South,Global South,24,1996.0,2022.0,24,1996.0,2022.0,24,1996.0,2022.0,24
TCA,Turks and Caicos Islands,Global_South,Global South,0,,,0,,,0,,,0
TCD,Chad,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
TGO,Togo,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
THA,Thailand,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
TJK,Tajikistan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
TKM,Turkmenistan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
TLS,Timor-Leste,Global_South,Global South,23,2002.0,2024.0,23,2002.0,2024.0,24,2000.0,2024.0,23
TON,Tonga,Global_South,Global South,20,2004.0,2023.0,20,2004.0,2023.0,25,1996.0,2023.0,20
TTO,Trinidad and Tobago,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
TUN,Tunisia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
TUR,Turkiye,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
TZA,Tanzania,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
UGA,Uganda,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
UKR,Ukraine,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
URY,Uruguay,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
USA,United States,Europe_NorthAmerica,Europe & North America,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
UZB,Uzbekistan,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
VCT,St. Vincent and the Grenadines,Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,26,1996.0,2024.0,21
VEN,"Venezuela, RB",Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
VIR,Virgin Islands (U.S.),Global_South,Global South,19,2004.0,2022.0,19,2004.0,2022.0,19,2004.0,2022.0,19
VNM,Viet Nam,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
VUT,Vanuatu,Global_South,Global South,21,2004.0,2024.0,21,2004.0,2024.0,26,1996.0,2024.0,21
WSM,Samoa,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
YEM,"Yemen, Rep.",Global_South,Global South,20,1996.0,2018.0,20,1996.0,2018.0,20,1996.0,2018.0,20
ZAF,South Africa,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ZMB,Zambia,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
ZWE,Zimbabwe,Global_South,Global South,26,1996.0,2024.0,26,1996.0,2024.0,26,1996.0,2024.0,26
